Humidity,C,Step count,Stress Level
21.33,90.33,123,1
21.41,90.41,93,1
27.12,96.12,196,2
27.64,96.64,177,2
10.87,79.87,87,0
11.31,80.31,40,0
18.16,87.16,88,1
28.2,97.2,162,2
14.25,83.25,61,0
26.13,95.13,168,2
23.61,92.61,200,2
19.37,88.37,117,1
29.08,98.08,179,2
17.83,86.83,55,1
28.06,97.06,148,2
19.43,88.43,123,1
26.85,95.85,169,2
26.51,95.51,135,2
29.49,98.49,149,2
20.94,89.94,122,1
28.6,97.6,131,2
18.62,87.62,43,1
14.43,83.43,79,0
26.69,95.69,153,2
15.67,84.67,21,1
26.63,95.63,147,2
17.58,86.58,30,1
21.53,90.53,105,1
20.99,89.99,127,1
23.94,92.94,162,2
19.06,88.06,87,1
25.46,94.46,172,2
29.19,98.19,190,2
28.73,97.73,144,2
21.69,90.69,121,1
23.66,92.66,134,2
19.51,88.51,93,1
14.84,83.84,29,0
15.34,84.34,79,1
20.76,89.76,104,1
28.08,97.08,150,2
14.23,83.23,59,0
20,89,104,1
13.13,82.13,40,0
21.96,90.96,110,1
24.84,93.84,181,2
15.14,84.14,59,1
13.89,82.89,25,0
21.77,90.77,129,1
20.43,89.43,109,1
24.82,93.82,179,2
23.89,92.89,157,2
13.06,82.06,33,0
19.94,88.94,98,1
24.06,93.06,174,2
19.56,88.56,98,1
17.39,86.39,11,1
13.03,82.03,30,0
21.8,90.8,94,1
23.24,92.24,163,2
12.26,81.26,44,0
18.37,87.37,18,1
23.46,92.46,185,2
20.05,89.05,109,1
19.07,88.07,88,1
24.52,93.52,149,2
21.67,90.67,119,1
12.06,81.06,24,0
21.86,90.86,100,1
23.09,92.09,148,2
25.74,94.74,200,2
22.63,91.63,109,1
21.12,90.12,102,1
25.47,94.47,173,2
23.56,92.56,195,2
21,90,128,1
25.81,94.81,136,2
25.76,94.76,131,2
22.66,91.66,112,1
26.78,95.78,162,2
22.77,91.77,123,1
20.66,89.66,94,1
16.75,85.75,38,1
26.87,95.87,171,2
27.84,96.84,197,2
25.34,94.34,160,2
12.79,81.79,6,0
27.92,96.92,134,2
11.33,80.33,42,0
16.47,85.47,10,1
29.74,98.74,174,2
20.89,89.89,117,1
27.96,96.96,138,2
24.53,93.53,150,2
28.44,97.44,186,2
11.89,80.89,7,0
25.89,94.89,144,2
29.5,98.5,150,2
21.38,90.38,128,1
14.18,83.18,54,0
19,88,81,1
28.68,97.68,139,2
12.54,81.54,72,0
21.26,90.26,116,1
11.77,80.77,86,0
20.44,89.44,110,1
22.59,91.59,105,1
10.31,79.31,31,0
10.6,79.6,60,0
17.5,86.5,22,1
24.08,93.08,176,2
22.64,91.64,110,1
18.53,87.53,34,1
28.95,97.95,166,2
25.78,94.78,133,2
17.24,86.24,87,1
24,93,168,2
25.63,94.63,189,2
20.73,89.73,101,1
29.06,98.06,177,2
19.84,88.84,126,1
17.21,86.21,84,1
18.65,87.65,46,1
21.68,90.68,120,1
12.58,81.58,76,0
13.22,82.22,49,0
22.42,91.42,118,1
27.8,96.8,193,2
29.79,98.79,179,2
11.92,80.92,10,0
13.28,82.28,55,0
10.4,79.4,40,0
20.11,89.11,115,1
13.46,82.46,73,0
13.95,82.95,31,0
27.86,96.86,199,2
20.63,89.63,129,1
18.07,87.07,79,1
19.97,88.97,101,1
14.16,83.16,52,0
28.45,97.45,187,2
28.36,97.36,178,2
29.3,98.3,130,2
19.26,88.26,106,1
29.78,98.78,178,2
23.93,92.93,161,2
28.62,97.62,133,2
25.19,94.19,145,2
23.78,92.78,146,2
28.22,97.22,164,2
21.39,90.39,129,1
17.88,86.88,60,1
29.94,98.94,194,2
21.05,90.05,95,1
29.89,98.89,189,2
28.84,97.84,155,2
26.06,95.06,161,2
24.4,93.4,137,2
16.79,85.79,42,1
26.03,95.03,158,2
26.38,95.38,193,2
10.46,79.46,46,0
21.97,90.97,111,1
26.32,95.32,187,2
26.46,95.46,130,2
12.74,81.74,1,0
29.37,98.37,137,2
14.83,83.83,28,0
16.88,85.88,51,1
10.92,79.92,1,0
11.45,80.45,54,0
14.35,83.35,71,0
15.21,84.21,66,1
27.14,96.14,198,2
16.54,85.54,17,1
11.84,80.84,2,0
17.56,86.56,28,1
28.87,97.87,158,2
11.88,80.88,6,0
13.62,82.62,89,0
15.86,84.86,40,1
29.91,98.91,191,2
25.87,94.87,142,2
24.62,93.62,159,2
23.82,92.82,150,2
26.64,95.64,148,2
29.86,98.86,186,2
28.25,97.25,167,2
16.82,85.82,45,1
26.61,95.61,145,2
21.27,90.27,117,1
24.78,93.78,175,2
27.43,96.43,156,2
16.56,85.56,19,1
13,82,27,0
19.14,88.14,94,1
16.04,85.04,58,1
25.96,94.96,151,2
25.41,94.41,167,2
22.71,91.71,117,1
14.59,83.59,4,0
14.77,83.77,22,0
14.07,83.07,43,0
11.09,80.09,18,0
10.52,79.52,52,0
22.06,91.06,120,1
17.77,86.77,49,1
12.56,81.56,74,0
20.98,89.98,126,1
27.17,96.17,130,2
10.65,79.65,65,0
11.32,80.32,41,0
22.09,91.09,123,1
20.93,89.93,121,1
14.92,83.92,37,0
21.98,90.98,112,1
21.78,90.78,92,1
10.33,79.33,33,0
12.61,81.61,79,0
19.09,88.09,90,1
26.19,95.19,174,2
27.11,96.11,195,2
23.59,92.59,198,2
27.26,96.26,139,2
29.35,98.35,135,2
19.99,88.99,103,1
22.18,91.18,94,1
14.36,83.36,72,0
12.41,81.41,59,0
11.48,80.48,57,0
15.43,84.43,88,1
18.93,87.93,74,1
14.42,83.42,78,0
18.74,87.74,55,1
10.21,79.21,21,0
26.98,95.98,182,2
22.41,91.41,117,1
21.74,90.74,126,1
17.44,86.44,16,1
27.99,96.99,141,2
25.44,94.44,170,2
16.93,85.93,56,1
11.1,80.1,19,0
25.16,94.16,142,2
17.53,86.53,25,1
13.58,82.58,85,0
12.72,81.72,90,0
27.69,96.69,182,2
26.24,95.24,179,2
23.67,92.67,135,2
16.01,85.01,55,1
22.04,91.04,118,1
25.32,94.32,158,2
15.97,84.97,51,1
13.94,82.94,30,0
22.39,91.39,115,1
11.55,80.55,64,0
10.19,79.19,19,0
14.28,83.28,64,0
24.01,93.01,169,2
19.57,88.57,99,1
21.92,90.92,106,1
12.86,81.86,13,0
20.09,89.09,113,1
19.45,88.45,125,1
21.15,90.15,105,1
18.79,87.79,60,1
20.31,89.31,97,1
10.85,79.85,85,0
12.49,81.49,67,0
27.23,96.23,136,2
20.1,89.1,114,1
11.87,80.87,5,0
29.11,98.11,182,2
11.9,80.9,8,0
21.17,90.17,107,1
10.2,79.2,20,0
11.52,80.52,61,0
22.62,91.62,108,1
24.7,93.7,167,2
23.38,92.38,177,2
23.44,92.44,183,2
26.86,95.86,170,2
25.01,94.01,198,2
26.55,95.55,139,2
19.34,88.34,114,1
27.13,96.13,197,2
23.52,92.52,191,2
11.02,80.02,11,0
28.26,97.26,168,2
22,91,114,1
10.1,79.1,10,0
12.63,81.63,81,0
25.14,94.14,140,2
20.46,89.46,112,1
11.54,80.54,63,0
14.22,83.22,58,0
12.55,81.55,73,0
11.05,80.05,14,0
18.87,87.87,68,1
20.08,89.08,112,1
20.24,89.24,128,1
24.85,93.85,182,2
18.47,87.47,28,1
17.32,86.32,4,1
26.21,95.21,176,2
23.32,92.32,171,2
16.2,85.2,74,1
26.83,95.83,167,2
29.17,98.17,188,2
13.16,82.16,43,0
20.68,89.68,96,1
24.23,93.23,191,2
15.99,84.99,53,1
23.18,92.18,157,2
11.66,80.66,75,0
29.77,98.77,177,2
11.21,80.21,30,0
14.58,83.58,3,0
10.3,79.3,30,0
10.81,79.81,81,0
28.09,97.09,151,2
18.71,87.71,52,1
22.56,91.56,102,1
12.15,81.15,33,0
17.85,86.85,57,1
25.21,94.21,147,2
28.66,97.66,137,2
18.7,87.7,51,1
15.65,84.65,19,1
27.7,96.7,183,2
26.14,95.14,169,2
15.07,84.07,52,1
15.27,84.27,72,1
28.14,97.14,156,2
24.25,93.25,193,2
23.77,92.77,145,2
28.7,97.7,141,2
17.42,86.42,14,1
27.36,96.36,149,2
24.88,93.88,185,2
10.23,79.23,23,0
14.21,83.21,57,0
10.08,79.08,8,0
28.49,97.49,191,2
22.13,91.13,127,1
18.33,87.33,14,1
19.32,88.32,112,1
21.58,90.58,110,1
21.55,90.55,107,1
23.26,92.26,165,2
15.79,84.79,33,1
16.73,85.73,36,1
21.63,90.63,115,1
18.78,87.78,59,1
19.4,88.4,120,1
13.08,82.08,35,0
25.26,94.26,152,2
11.67,80.67,76,0
12.4,81.4,58,0
17.84,86.84,56,1
29.41,98.41,141,2
15.24,84.24,69,1
25.43,94.43,169,2
25.66,94.66,192,2
23.79,92.79,147,2
17.06,86.06,69,1
29.29,98.29,200,2
24.39,93.39,136,2
10.78,79.78,78,0
17.48,86.48,20,1
20.91,89.91,119,1
19.85,88.85,127,1
17.15,86.15,78,1
28.29,97.29,171,2
17.38,86.38,10,1
14.31,83.31,67,0
23.27,92.27,166,2
20.22,89.22,126,1
25.97,94.97,152,2
14.11,83.11,47,0
18.32,87.32,13,1
19.19,88.19,99,1
24.64,93.64,161,2
22.82,91.82,128,1
23.74,92.74,142,2
11.25,80.25,34,0
29.58,98.58,158,2
16.14,85.14,68,1
11.59,80.59,68,0
10.24,79.24,24,0
27.81,96.81,194,2
12.11,81.11,29,0
17.89,86.89,61,1
16.65,85.65,28,1
16.25,85.25,79,1
15.44,84.44,89,1
14.05,83.05,41,0
10.77,79.77,77,0
20.47,89.47,113,1
26.26,95.26,181,2
28.13,97.13,155,2
20.33,89.33,99,1
27.02,96.02,186,2
22.08,91.08,122,1
21.75,90.75,127,1
26.81,95.81,165,2
15.72,84.72,26,1
28.63,97.63,134,2
19.68,88.68,110,1
20.9,89.9,118,1
12.32,81.32,50,0
10.36,79.36,36,0
21.31,90.31,121,1
21.51,90.51,103,1
14.99,83.99,44,0
21.71,90.71,123,1
21.48,90.48,100,1
14.44,83.44,80,0
18.68,87.68,49,1
29.68,98.68,168,2
24.97,93.97,194,2
29.92,98.92,192,2
16.38,85.38,1,1
27.39,96.39,152,2
12.02,81.02,20,0
11.38,80.38,47,0
20.12,89.12,116,1
14.09,83.09,45,0
24.35,93.35,132,2
28.97,97.97,168,2
29.02,98.02,173,2
28.28,97.28,170,2
16.84,85.84,47,1
26.43,95.43,198,2
29.48,98.48,148,2
17.41,86.41,13,1
25.04,94.04,130,2
15.51,84.51,5,1
13.24,82.24,51,0
16.76,85.76,39,1
24.28,93.28,196,2
22.73,91.73,119,1
16.28,85.28,82,1
14.71,83.71,16,0
19.21,88.21,101,1
24.24,93.24,192,2
14.88,83.88,33,0
18.5,87.5,31,1
15.96,84.96,50,1
10.44,79.44,44,0
25.73,94.73,199,2
27.77,96.77,190,2
10.29,79.29,29,0
18.72,87.72,53,1
20.48,89.48,114,1
24.33,93.33,130,2
15.42,84.42,87,1
28.05,97.05,147,2
17.72,86.72,44,1
12.22,81.22,40,0
18.52,87.52,33,1
25.06,94.06,132,2
10.34,79.34,34,0
26.35,95.35,190,2
10.95,79.95,4,0
15.64,84.64,18,1
10.48,79.48,48,0
12.25,81.25,43,0
14.73,83.73,18,0
20.97,89.97,125,1
23.3,92.3,169,2
21.11,90.11,101,1
19.36,88.36,116,1
25.17,94.17,143,2
10.96,79.96,5,0
27.49,96.49,162,2
29.63,98.63,163,2
27.87,96.87,200,2
17.63,86.63,35,1
29.2,98.2,191,2
24.43,93.43,140,2
20.07,89.07,111,1
28.3,97.3,172,2
14.1,83.1,46,0
23.96,92.96,164,2
13.8,82.8,16,0
11.24,80.24,33,0
25.83,94.83,138,2
29.09,98.09,180,2
19.65,88.65,107,1
15.12,84.12,57,1
13.48,82.48,75,0
29.53,98.53,153,2
22.65,91.65,111,1
22.38,91.38,114,1
27.82,96.82,195,2
14.96,83.96,41,0
11.29,80.29,38,0
19.22,88.22,102,1
10.82,79.82,82,0
26.05,95.05,160,2
23.68,92.68,136,2
28.64,97.64,135,2
13.72,82.72,8,0
19.05,88.05,86,1
15.02,84.02,47,1
20.23,89.23,127,1
10.63,79.63,63,0
20.61,89.61,127,1
11.07,80.07,16,0
16.97,85.97,60,1
23.15,92.15,154,2
28.07,97.07,149,2
13.81,82.81,17,0
16.68,85.68,31,1
27.95,96.95,137,2
14.9,83.9,35,0
17.87,86.87,59,1
22.43,91.43,119,1
13.36,82.36,63,0
17.34,86.34,6,1
17.29,86.29,1,1
15.87,84.87,41,1
10.39,79.39,39,0
22.61,91.61,107,1
23.33,92.33,172,2
29.12,98.12,183,2
26.27,95.27,182,2
25.52,94.52,178,2
19.3,88.3,110,1
19.72,88.72,114,1
16.57,85.57,20,1
23.07,92.07,146,2
12.03,81.03,21,0
11.78,80.78,87,0
28.19,97.19,161,2
26.8,95.8,164,2
16.3,85.3,84,1
20.87,89.87,115,1
12.13,81.13,31,0
18.69,87.69,50,1
13.83,82.83,19,0
17.27,86.27,90,1
18.86,87.86,67,1
24.13,93.13,181,2
16.39,85.39,2,1
25.39,94.39,165,2
15.68,84.68,22,1
27.76,96.76,189,2
17.68,86.68,40,1
16.05,85.05,59,1
12.62,81.62,80,0
22.11,91.11,125,1
14.51,83.51,87,0
21.61,90.61,113,1
22.54,91.54,100,1
11.13,80.13,22,0
15.81,84.81,35,1
23.06,92.06,145,2
16.98,85.98,61,1
22.22,91.22,98,1
13.67,82.67,3,0
11.46,80.46,55,0
13.1,82.1,37,0
24.66,93.66,163,2
10.28,79.28,28,0
11.98,80.98,16,0
26.28,95.28,183,2
20.65,89.65,93,1
23.45,92.45,184,2
19.91,88.91,95,1
24.21,93.21,189,2
13.39,82.39,66,0
28.77,97.77,148,2
18.34,87.34,15,1
26.48,95.48,132,2
27.03,96.03,187,2
16.69,85.69,32,1
25.42,94.42,168,2
17.08,86.08,71,1
28.27,97.27,169,2
22.05,91.05,119,1
24.91,93.91,188,2
16.95,85.95,58,1
22.89,91.89,127,1
24.98,93.98,195,2
29.84,98.84,184,2
25.09,94.09,135,2
22.49,91.49,125,1
29.87,98.87,187,2
11.64,80.64,73,0
11.16,80.16,25,0
18.13,87.13,85,1
10.03,79.03,3,0
11.81,80.81,90,0
24.96,93.96,193,2
23.63,92.63,131,2
27.29,96.29,142,2
10.66,79.66,66,0
18.02,87.02,74,1
12.76,81.76,3,0
14.66,83.66,11,0
29.36,98.36,136,2
24.47,93.47,144,2
16.44,85.44,7,1
16.09,85.09,63,1
25.77,94.77,132,2
29.33,98.33,133,2
10.42,79.42,42,0
25.23,94.23,149,2
29.21,98.21,192,2
23.53,92.53,192,2
20.72,89.72,100,1
19.81,88.81,123,1
13.41,82.41,68,0
29.51,98.51,151,2
25.79,94.79,134,2
17.66,86.66,38,1
11.12,80.12,21,0
17.52,86.52,24,1
11.69,80.69,78,0
25.56,94.56,182,2
18,87,72,1
17.46,86.46,18,1
29.24,98.24,195,2
19.87,88.87,129,1
20.59,89.59,125,1
20.95,89.95,123,1
11.95,80.95,13,0
13.02,82.02,29,0
12.48,81.48,66,0
29.57,98.57,157,2
19.82,88.82,124,1
17.31,86.31,3,1
11.93,80.93,11,0
25.99,94.99,154,2
18.8,87.8,61,1
16.24,85.24,78,1
19.17,88.17,97,1
28.92,97.92,163,2
11.19,80.19,28,0
28.99,97.99,170,2
21.54,90.54,106,1
27.01,96.01,185,2
16.22,85.22,76,1
11.94,80.94,12,0
24.94,93.94,191,2
22.32,91.32,108,1
27.68,96.68,181,2
29.88,98.88,188,2
26.33,95.33,188,2
13.21,82.21,48,0
27.09,96.09,193,2
24.18,93.18,186,2
27.41,96.41,154,2
14.89,83.89,34,0
21.1,90.1,100,1
23.58,92.58,197,2
13.99,82.99,35,0
20.75,89.75,103,1
27.08,96.08,192,2
21.37,90.37,127,1
11.23,80.23,32,0
21.23,90.23,113,1
25.13,94.13,139,2
15.74,84.74,28,1
10.11,79.11,11,0
20.17,89.17,121,1
10.57,79.57,57,0
22.53,91.53,129,1
15.08,84.08,53,1
12.39,81.39,57,0
15.56,84.56,10,1
25.61,94.61,187,2
11.03,80.03,12,0
14.62,83.62,7,0
21.79,90.79,93,1
15.66,84.66,20,1
10.99,79.99,8,0
28.18,97.18,160,2
17.12,86.12,75,1
16.96,85.96,59,1
22.76,91.76,122,1
18.14,87.14,86,1
14.19,83.19,55,0
20.7,89.7,98,1
17.67,86.67,39,1
13.73,82.73,9,0
20.71,89.71,99,1
13.27,82.27,54,0
23.39,92.39,178,2
11.44,80.44,53,0
26.15,95.15,170,2
14.68,83.68,13,0
23.03,92.03,142,2
22.3,91.3,106,1
28.32,97.32,174,2
28.4,97.4,182,2
12.17,81.17,35,0
18.04,87.04,76,1
10.9,79.9,90,0
12.12,81.12,30,0
19.66,88.66,108,1
20.88,89.88,116,1
14.5,83.5,86,0
12.51,81.51,69,0
14.2,83.2,56,0
11.79,80.79,88,0
16.27,85.27,81,1
22.31,91.31,107,1
10.67,79.67,67,0
13.07,82.07,34,0
15.03,84.03,48,1
23.31,92.31,170,2
10.53,79.53,53,0
28.52,97.52,194,2
28.43,97.43,185,2
10.49,79.49,49,0
16.18,85.18,72,1
22.52,91.52,128,1
17.11,86.11,74,1
13.55,82.55,82,0
28.23,97.23,165,2
26.2,95.2,175,2
26.04,95.04,159,2
25.59,94.59,185,2
25.8,94.8,135,2
23.69,92.69,137,2
15.41,84.41,86,1
19.67,88.67,109,1
21.07,90.07,97,1
19.8,88.8,122,1
25.33,94.33,159,2
13.45,82.45,72,0
21.19,90.19,109,1
14.67,83.67,12,0
22.48,91.48,124,1
29.13,98.13,184,2
17.71,86.71,43,1
12.42,81.42,60,0
11.97,80.97,15,0
12.93,81.93,20,0
28.76,97.76,147,2
25.27,94.27,153,2
24.2,93.2,188,2
10.05,79.05,5,0
14.6,83.6,5,0
25.86,94.86,141,2
22.7,91.7,116,1
17.75,86.75,47,1
18.27,87.27,8,1
28.61,97.61,132,2
11.61,80.61,70,0
29.6,98.6,160,2
26.12,95.12,167,2
15.19,84.19,64,1
18.48,87.48,29,1
22.28,91.28,104,1
11,80,9,0
11.26,80.26,35,0
19.77,88.77,119,1
23.23,92.23,162,2
18.66,87.66,47,1
21.5,90.5,102,1
12.83,81.83,10,0
24.9,93.9,187,2
27.46,96.46,159,2
29.56,98.56,156,2
19.63,88.63,105,1
22.44,91.44,120,1
13.74,82.74,10,0
26.4,95.4,195,2
19.62,88.62,104,1
29.04,98.04,175,2
20.62,89.62,128,1
12.38,81.38,56,0
18.21,87.21,2,1
21.64,90.64,116,1
18.24,87.24,5,1
10.35,79.35,35,0
14.47,83.47,83,0
21.16,90.16,106,1
16.63,85.63,26,1
23.11,92.11,150,2
13.37,82.37,64,0
14.8,83.8,25,0
29.96,98.96,196,2
17.62,86.62,34,1
29.28,98.28,199,2
17.97,86.97,69,1
27.57,96.57,170,2
24.27,93.27,195,2
18.12,87.12,84,1
23.02,92.02,141,2
26.08,95.08,163,2
20.04,89.04,108,1
18.58,87.58,39,1
13.76,82.76,12,0
16.9,85.9,53,1
27.62,96.62,175,2
21.84,90.84,98,1
26.97,95.97,181,2
19.6,88.6,102,1
26.47,95.47,131,2
11.68,80.68,77,0
18.59,87.59,40,1
20.25,89.25,129,1
17.17,86.17,80,1
24.92,93.92,189,2
23.87,92.87,155,2
22.87,91.87,125,1
17.6,86.6,32,1
14.86,83.86,31,0
19.71,88.71,113,1
28.9,97.9,161,2
18.92,87.92,73,1
26.49,95.49,133,2
19.02,88.02,83,1
29.65,98.65,165,2
27.55,96.55,168,2
29.54,98.54,154,2
24.58,93.58,155,2
26.34,95.34,189,2
18.94,87.94,75,1
14.27,83.27,63,0
28.82,97.82,153,2
14.78,83.78,23,0
15.77,84.77,31,1
18.81,87.81,62,1
12.44,81.44,62,0
27.33,96.33,146,2
24.63,93.63,160,2
20.82,89.82,110,1
19.98,88.98,102,1
18.63,87.63,44,1
20.06,89.06,110,1
17.51,86.51,23,1
28.21,97.21,163,2
18.55,87.55,36,1
20.28,89.28,94,1
22.02,91.02,116,1
29.52,98.52,152,2
28.71,97.71,142,2
10.83,79.83,83,0
15.17,84.17,62,1
12.1,81.1,28,0
20.38,89.38,104,1
26.57,95.57,141,2
19.31,88.31,111,1
13.64,82.64,0,0
28.75,97.75,146,2
26.65,95.65,149,2
16.11,85.11,65,1
26.29,95.29,184,2
22.6,91.6,106,1
27.32,96.32,145,2
21.49,90.49,101,1
19.5,88.5,92,1
25.51,94.51,177,2
25.38,94.38,164,2
13.52,82.52,79,0
21.25,90.25,115,1
14.45,83.45,81,0
11.28,80.28,37,0
12.65,81.65,83,0
10.18,79.18,18,0
17.8,86.8,52,1
14.53,83.53,89,0
30,99,200,2
13.96,82.96,32,0
12.45,81.45,63,0
21.56,90.56,108,1
17.43,86.43,15,1
16.43,85.43,6,1
22.34,91.34,110,1
15.61,84.61,15,1
13.38,82.38,65,0
11.62,80.62,71,0
15.92,84.92,46,1
12.95,81.95,22,0
20.58,89.58,124,1
23.08,92.08,147,2
27.83,96.83,196,2
28.11,97.11,153,2
25.18,94.18,144,2
29.71,98.71,171,2
19.46,88.46,126,1
23.05,92.05,144,2
16.33,85.33,87,1
12.24,81.24,42,0
22.15,91.15,129,1
19.74,88.74,116,1
17.25,86.25,88,1
26.84,95.84,168,2
21.4,90.4,92,1
28.91,97.91,162,2
20.56,89.56,122,1
25.91,94.91,146,2
28.12,97.12,154,2
27.73,96.73,186,2
28.15,97.15,157,2
18.3,87.3,11,1
24.79,93.79,176,2
25.07,94.07,133,2
24.3,93.3,198,2
15.32,84.32,77,1
18.64,87.64,45,1
21.81,90.81,95,1
27.93,96.93,135,2
14.79,83.79,24,0
13.98,82.98,34,0
15.95,84.95,49,1
16,85,54,1
12.34,81.34,52,0
13.26,82.26,53,0
19.04,88.04,85,1
28.37,97.37,179,2
10.69,79.69,69,0
18.67,87.67,48,1
20.15,89.15,119,1
17.99,86.99,71,1
25.57,94.57,183,2
14.98,83.98,43,0
15.71,84.71,25,1
21.72,90.72,124,1
10.76,79.76,76,0
13.59,82.59,86,0
19.75,88.75,117,1
15.25,84.25,70,1
17.26,86.26,89,1
13.65,82.65,1,0
10.54,79.54,54,0
22.84,91.84,122,1
15.01,84.01,46,1
10.02,79.02,2,0
13.11,82.11,38,0
23.37,92.37,176,2
16.59,85.59,22,1
18.19,87.19,0,1
13.14,82.14,41,0
18.54,87.54,35,1
17.33,86.33,5,1
14.02,83.02,38,0
24.57,93.57,154,2
24.76,93.76,173,2
15.93,84.93,47,1
21.91,90.91,105,1
19.78,88.78,120,1
21.99,90.99,113,1
20.74,89.74,102,1
24.15,93.15,183,2
25.1,94.1,136,2
12.8,81.8,7,0
27.38,96.38,151,2
23.36,92.36,175,2
22.36,91.36,112,1
14.87,83.87,32,0
23.5,92.5,189,2
17.1,86.1,73,1
16.48,85.48,11,1
25.37,94.37,163,2
11.34,80.34,43,0
19.76,88.76,118,1
26.99,95.99,183,2
10.75,79.75,75,0
17.94,86.94,66,1
19.24,88.24,104,1
14.03,83.03,39,0
28.65,97.65,136,2
17.76,86.76,48,1
12.16,81.16,34,0
29.9,98.9,190,2
18.97,87.97,78,1
25.94,94.94,149,2
23.54,92.54,193,2
12.33,81.33,51,0
18.85,87.85,66,1
20.4,89.4,106,1
15.69,84.69,23,1
28.17,97.17,159,2
20.8,89.8,108,1
22.12,91.12,126,1
18.42,87.42,23,1
16.29,85.29,83,1
28.79,97.79,150,2
14.81,83.81,26,0
29.61,98.61,161,2
13.92,82.92,28,0
23.9,92.9,158,2
29.05,98.05,176,2
24.17,93.17,185,2
18.2,87.2,1,1
12.69,81.69,87,0
29.99,98.99,199,2
20.2,89.2,124,1
