Humidity,C,Step count,Stress Level
24.03,93.03,171,2
20.41,89.41,107,1
17.16,86.16,79,1
24.69,93.69,166,2
15.09,84.09,54,1
10.62,79.62,62,0
20.14,89.14,118,1
15.55,84.55,9,1
18.03,87.03,75,1
19.83,88.83,125,1
24.6,93.6,157,2
26.62,95.62,146,2
15.4,84.4,85,1
26.75,95.75,159,2
17.45,86.45,17,1
26.18,95.18,173,2
19.42,88.42,122,1
24.99,93.99,196,2
22.85,91.85,123,1
27.4,96.4,153,2
26.45,95.45,200,2
10.22,79.22,22,0
27.72,96.72,185,2
12.43,81.43,61,0
23.57,92.57,196,2
19.47,88.47,127,1
12.36,81.36,54,0
26.56,95.56,140,2
21.03,90.03,93,1
19.64,88.64,106,1
18.75,87.75,56,1
11.74,80.74,83,0
15.5,84.5,4,1
29.93,98.93,193,2
14.01,83.01,37,0
12.04,81.04,22,0
13.34,82.34,61,0
10.32,79.32,32,0
28.03,97.03,145,2
29.59,98.59,159,2
15.04,84.04,49,1
20.01,89.01,105,1
15.38,84.38,83,1
18.76,87.76,57,1
22.91,91.91,130,2
14.32,83.32,68,0
23.49,92.49,188,2
10.26,79.26,26,0
27.97,96.97,139,2
14.41,83.41,77,0
11.73,80.73,82,0
16.23,85.23,77,1
25.35,94.35,161,2
23.83,92.83,151,2
11.91,80.91,9,0
14.17,83.17,53,0
27.9,96.9,132,2
22.92,91.92,131,2
28.81,97.81,152,2
16.74,85.74,37,1
18.1,87.1,82,1
22.24,91.24,100,1
23.85,92.85,153,2
28.54,97.54,196,2
20.77,89.77,105,1
25.55,94.55,181,2
14.33,83.33,69,0
24.45,93.45,142,2
24.19,93.19,187,2
19.25,88.25,105,1
28.42,97.42,184,2
22.27,91.27,103,1
12.78,81.78,5,0
27.58,96.58,171,2
18.17,87.17,89,1
17.19,86.19,82,1
29.03,98.03,174,2
18.51,87.51,32,1
28.83,97.83,154,2
13.2,82.2,47,0
22.96,91.96,135,2
15.52,84.52,6,1
16.13,85.13,67,1
18.44,87.44,25,1
11.41,80.41,50,0
12.73,81.73,0,0
19.96,88.96,100,1
29.97,98.97,197,2
14.55,83.55,0,0
25.85,94.85,140,2
15.45,84.45,90,1
20.92,89.92,120,1
19.13,88.13,93,1
12.35,81.35,53,0
16.78,85.78,41,1
26.66,95.66,150,2
23.19,92.19,158,2
18.39,87.39,20,1
24.74,93.74,171,2
11.04,80.04,13,0
27.05,96.05,189,2
16.51,85.51,14,1
29.31,98.31,131,2
19.35,88.35,115,1
18.57,87.57,38,1
17.73,86.73,45,1
13.35,82.35,62,0
16.86,85.86,49,1
22.5,91.5,126,1
26.94,95.94,178,2
21.76,90.76,128,1
10.56,79.56,56,0
28.24,97.24,166,2
12.82,81.82,9,0
19.15,88.15,95,1
28.39,97.39,181,2
21.9,90.9,104,1
23.48,92.48,187,2
27.34,96.34,147,2
24.71,93.71,168,2
13.47,82.47,74,0
25.03,94.03,200,2
29.7,98.7,170,2
19.9,88.9,94,1
26.9,95.9,174,2
17.92,86.92,64,1
13.25,82.25,52,0
24.12,93.12,180,2
10.55,79.55,55,0
15.31,84.31,76,1
12.92,81.92,19,0
27.67,96.67,180,2
13.6,82.6,87,0
17.4,86.4,12,1
10.73,79.73,73,0
12.97,81.97,24,0
16.19,85.19,73,1
17.05,86.05,68,1
14.85,83.85,30,0
23.76,92.76,144,2
17.02,86.02,65,1
26.17,95.17,172,2
22.58,91.58,104,1
18.99,87.99,80,1
15.18,84.18,63,1
16.07,85.07,61,1
22.46,91.46,122,1
21.35,90.35,125,1
13.4,82.4,67,0
17.91,86.91,63,1
23.62,92.62,130,2
28.47,97.47,189,2
16.8,85.8,43,1
14.08,83.08,44,0
26.93,95.93,177,2
26.72,95.72,156,2
22.25,91.25,101,1
27.06,96.06,190,2
29.4,98.4,140,2
22.97,91.97,136,2
14.29,83.29,65,0
29.27,98.27,198,2
23.04,92.04,143,2
11.01,80.01,10,0
21.44,90.44,96,1
13.01,82.01,28,0
15.13,84.13,58,1
21.02,90.02,92,1
20.21,89.21,125,1
16.35,85.35,89,1
27.31,96.31,144,2
13.42,82.42,69,0
15,84,45,0
16.91,85.91,54,1
14.97,83.97,42,0
20.79,89.79,107,1
21.65,90.65,117,1
24.42,93.42,139,2
19.27,88.27,107,1
16.66,85.66,29,1
15.29,84.29,74,1
17.9,86.9,62,1
29.67,98.67,167,2
14.69,83.69,14,0
14.26,83.26,62,0
22.01,91.01,115,1
25.71,94.71,197,2
23.7,92.7,138,2
12.88,81.88,15,0
25.88,94.88,143,2
19.59,88.59,101,1
12.85,81.85,12,0
10.64,79.64,64,0
26.01,95.01,156,2
20.37,89.37,103,1
19.7,88.7,112,1
15.94,84.94,48,1
22.86,91.86,124,1
27.2,96.2,133,2
19.73,88.73,115,1
12.28,81.28,46,0
24.22,93.22,190,2
23.1,92.1,149,2
21.7,90.7,122,1
19.33,88.33,113,1
11.7,80.7,79,0
22.45,91.45,121,1
19.53,88.53,95,1
16.08,85.08,62,1
22.95,91.95,134,2
10.59,79.59,59,0
13.32,82.32,59,0
12.08,81.08,26,0
24.77,93.77,174,2
18.98,87.98,79,1
23,92,139,2
24.86,93.86,183,2
22.21,91.21,97,1
15.26,84.26,71,1
25.28,94.28,154,2
17.86,86.86,58,1
28.02,97.02,144,2
29.62,98.62,162,2
19.41,88.41,121,1
16.06,85.06,60,1
23.81,92.81,149,2
10.93,79.93,2,0
25.68,94.68,194,2
16.55,85.55,18,1
19.49,88.49,129,1
10.8,79.8,80,0
25.15,94.15,141,2
15.58,84.58,12,1
29.55,98.55,155,2
12.31,81.31,49,0
10.58,79.58,58,0
23.35,92.35,174,2
15.82,84.82,36,1
27.1,96.1,194,2
13.68,82.68,4,0
11.6,80.6,69,0
26.76,95.76,160,2
25.31,94.31,157,2
23.42,92.42,181,2
13.09,82.09,36,0
18.43,87.43,24,1
26.31,95.31,186,2
16.21,85.21,75,1
11.51,80.51,60,0
12.52,81.52,70,0
25.69,94.69,195,2
19.38,88.38,118,1
22.9,91.9,128,1
13.43,82.43,70,0
10.38,79.38,38,0
25.67,94.67,193,2
10.15,79.15,15,0
12.98,81.98,25,0
20.02,89.02,106,1
19.23,88.23,103,1
15.15,84.15,60,1
20.19,89.19,123,1
10.91,79.91,0,0
12.3,81.3,48,0
11.39,80.39,48,0
19.61,88.61,103,1
18.26,87.26,7,1
27.52,96.52,165,2
11.75,80.75,84,0
27.47,96.47,160,2
19.54,88.54,96,1
26.41,95.41,196,2
23.65,92.65,133,2
17.59,86.59,31,1
20.83,89.83,111,1
29.1,98.1,181,2
29.22,98.22,193,2
14.91,83.91,36,0
23.97,92.97,165,2
16.1,85.1,64,1
20.57,89.57,123,1
18.56,87.56,37,1
24.38,93.38,135,2
24.56,93.56,153,2
17.14,86.14,77,1
23.4,92.4,179,2
22.78,91.78,124,1
27.56,96.56,169,2
11.47,80.47,56,0
15.6,84.6,14,1
26.74,95.74,158,2
16.62,85.62,25,1
27.3,96.3,143,2
12.01,81.01,19,0
11.65,80.65,74,0
20.03,89.03,107,1
14.76,83.76,21,0
22.23,91.23,99,1
22.67,91.67,113,1
19.2,88.2,100,1
22.8,91.8,126,1
14.12,83.12,48,0
18.61,87.61,42,1
18.01,87.01,73,1
16.92,85.92,55,1
12.18,81.18,36,0
24.49,93.49,146,2
27,96,184,2
21.18,90.18,108,1
10,79,0,0
19.12,88.12,92,1
11.83,80.83,1,0
11.22,80.22,31,0
21.24,90.24,114,1
22.74,91.74,120,1
14,83,36,0
15.49,84.49,3,1
20.35,89.35,101,1
29,98,171,2
12.99,81.99,26,0
10.04,79.04,4,0
28.51,97.51,193,2
23.21,92.21,160,2
20.45,89.45,111,1
11.71,80.71,80,0
24.16,93.16,184,2
11.42,80.42,51,0
12.2,81.2,38,0
22.26,91.26,102,1
27.16,96.16,200,2
23.72,92.72,140,2
25.22,94.22,148,2
19.29,88.29,109,1
15.1,84.1,55,1
25.49,94.49,175,2
17.95,86.95,67,1
25.05,94.05,131,2
24.46,93.46,143,2
16.12,85.12,66,1
28.93,97.93,164,2
10.71,79.71,71,0
15.59,84.59,13,1
24.93,93.93,190,2
27.94,96.94,136,2
28.01,97.01,143,2
13.9,82.9,26,0
20.54,89.54,120,1
16.42,85.42,5,1
20.69,89.69,97,1
17.81,86.81,53,1
17.23,86.23,86,1
21.88,90.88,102,1
16.89,85.89,52,1
28.89,97.89,160,2
27.79,96.79,192,2
25.65,94.65,191,2
19.93,88.93,97,1
19.03,88.03,84,1
10.37,79.37,37,0
28.04,97.04,146,2
12.09,81.09,27,0
12.47,81.47,65,0
20.39,89.39,105,1
26.42,95.42,197,2
29.23,98.23,194,2
19.16,88.16,96,1
20.53,89.53,119,1
29.01,98.01,172,2
20.32,89.32,98,1
26.36,95.36,191,2
23.73,92.73,141,2
25.9,94.9,145,2
21.22,90.22,112,1
10.86,79.86,86,0
26.88,95.88,172,2
16.5,85.5,13,1
29.64,98.64,164,2
13.31,82.31,58,0
10.88,79.88,88,0
14.65,83.65,10,0
16.58,85.58,21,1
17.13,86.13,76,1
19.79,88.79,121,1
21.57,90.57,109,1
16.16,85.16,70,1
21.66,90.66,118,1
25.84,94.84,139,2
26.25,95.25,180,2
26.89,95.89,173,2
23.28,92.28,167,2
11.18,80.18,27,0
20.67,89.67,95,1
17.82,86.82,54,1
27.91,96.91,133,2
29.34,98.34,134,2
21.36,90.36,126,1
25.3,94.3,156,2
17.96,86.96,68,1
11.57,80.57,66,0
12.59,81.59,77,0
29.75,98.75,175,2
22.99,91.99,138,2
14.82,83.82,27,0
21.47,90.47,99,1
26.37,95.37,192,2
11.8,80.8,89,0
15.84,84.84,38,1
24.65,93.65,162,2
17.61,86.61,33,1
24.61,93.61,158,2
10.68,79.68,68,0
13.88,82.88,24,0
15.36,84.36,81,1
22.19,91.19,95,1
25.58,94.58,184,2
23.55,92.55,194,2
18.95,87.95,76,1
26.3,95.3,185,2
10.14,79.14,14,0
29.45,98.45,145,2
22.37,91.37,113,1
15.88,84.88,42,1
26.96,95.96,180,2
16.99,85.99,62,1
24.68,93.68,165,2
18.06,87.06,78,1
29.18,98.18,189,2
15.76,84.76,30,1
17.98,86.98,70,1
10.94,79.94,3,0
22.88,91.88,126,1
13.56,82.56,83,0
23.92,92.92,160,2
13.71,82.71,7,0
22.83,91.83,129,1
23.84,92.84,152,2
16.72,85.72,35,1
29.15,98.15,186,2
27.85,96.85,198,2
14.75,83.75,20,0
24.32,93.32,200,2
26.54,95.54,138,2
28.85,97.85,156,2
27.25,96.25,138,2
11.96,80.96,14,0
22.94,91.94,133,2
24.07,93.07,175,2
17.07,86.07,70,1
15.83,84.83,37,1
21.89,90.89,103,1
13.85,82.85,21,0
29.83,98.83,183,2
11.85,80.85,3,0
23.88,92.88,156,2
28.5,97.5,192,2
15.39,84.39,84,1
15.7,84.7,24,1
16.03,85.03,57,1
13.04,82.04,31,0
23.6,92.6,199,2
21.13,90.13,103,1
12.96,81.96,23,0
28.53,97.53,195,2
22.68,91.68,114,1
24.75,93.75,172,2
21.73,90.73,125,1
11.5,80.5,59,0
14.15,83.15,51,0
14.37,83.37,73,0
18.09,87.09,81,1
14.63,83.63,8,0
27.42,96.42,155,2
11.17,80.17,26,0
15.57,84.57,11,1
13.78,82.78,14,0
26.91,95.91,175,2
21.42,90.42,94,1
14.93,83.93,38,0
29.81,98.81,181,2
23.01,92.01,140,2
10.47,79.47,47,0
21.29,90.29,119,1
28.72,97.72,143,2
15.11,84.11,56,1
13.33,82.33,60,0
29.76,98.76,176,2
26.11,95.11,166,2
24.09,93.09,177,2
13.44,82.44,71,0
27.44,96.44,157,2
12.84,81.84,11,0
22.2,91.2,96,1
11.86,80.86,4,0
13.97,82.97,33,0
14.39,83.39,75,0
29.32,98.32,132,2
11.2,80.2,29,0
28.96,97.96,167,2
18.46,87.46,27,1
14.3,83.3,66,0
18.35,87.35,16,1
28.88,97.88,159,2
10.84,79.84,84,0
16.26,85.26,80,1
15.73,84.73,27,1
15.85,84.85,39,1
17.57,86.57,29,1
17.3,86.3,2,1
23.14,92.14,153,2
20.64,89.64,92,1
11.14,80.14,23,0
25.08,94.08,134,2
17,86,63,1
15.63,84.63,17,1
10.41,79.41,41,0
16.36,85.36,90,1
16.85,85.85,48,1
24.14,93.14,182,2
18.91,87.91,72,1
24.29,93.29,197,2
27.53,96.53,166,2
18.38,87.38,19,1
22.1,91.1,124,1
27.88,96.88,130,2
13.53,82.53,80,0
27.21,96.21,134,2
26.68,95.68,152,2
11.82,80.82,0,0
28.57,97.57,199,2
17.28,86.28,0,1
27.27,96.27,140,2
23.2,92.2,159,2
25.75,94.75,130,2
14.74,83.74,19,0
18.41,87.41,22,1
21.06,90.06,96,1
27.5,96.5,163,2
10.89,79.89,89,0
24.26,93.26,194,2
11.72,80.72,81,0
26.67,95.67,151,2
14.04,83.04,40,0
25.24,94.24,150,2
26.09,95.09,164,2
21.32,90.32,122,1
28.33,97.33,175,2
15.54,84.54,8,1
25.4,94.4,166,2
24.37,93.37,134,2
29.14,98.14,185,2
15.37,84.37,82,1
23.99,92.99,167,2
24.55,93.55,152,2
19.89,88.89,93,1
18.89,87.89,70,1
21.93,90.93,107,1
29.25,98.25,196,2
26.52,95.52,136,2
17.74,86.74,46,1
27.51,96.51,164,2
23.13,92.13,152,2
23.71,92.71,139,2
29.73,98.73,173,2
25.72,94.72,198,2
11.4,80.4,49,0
19.44,88.44,124,1
29.47,98.47,147,2
21.52,90.52,104,1
14.7,83.7,15,0
12.77,81.77,4,0
14.49,83.49,85,0
12.68,81.68,86,0
29.72,98.72,172,2
20.52,89.52,118,1
28.8,97.8,151,2
12.81,81.81,8,0
26.92,95.92,176,2
24.34,93.34,131,2
25,94,197,2
26,95,155,2
22.55,91.55,101,1
15.05,84.05,50,1
12.23,81.23,41,0
18.25,87.25,6,1
19.52,88.52,94,1
13.61,82.61,88,0
13.82,82.82,18,0
21.3,90.3,120,1
28.86,97.86,157,2
26.02,95.02,157,2
16.83,85.83,46,1
17.36,86.36,8,1
25.82,94.82,137,2
18.83,87.83,64,1
14.06,83.06,42,0
10.06,79.06,6,0
23.47,92.47,186,2
17.09,86.09,72,1
21.85,90.85,99,1
26.79,95.79,163,2
25.95,94.95,150,2
16.02,85.02,56,1
22.16,91.16,92,1
29.39,98.39,139,2
13.49,82.49,76,0
26.7,95.7,154,2
25.36,94.36,162,2
21.28,90.28,118,1
10.09,79.09,9,0
21.09,90.09,99,1
23.51,92.51,190,2
15.8,84.8,34,1
19.88,88.88,92,1
17.55,86.55,27,1
25.92,94.92,147,2
26.16,95.16,171,2
26.77,95.77,161,2
11.35,80.35,44,0
12.7,81.7,88,0
28.74,97.74,145,2
12.29,81.29,47,0
11.11,80.11,20,0
23.29,92.29,168,2
13.75,82.75,11,0
24.02,93.02,170,2
21.87,90.87,101,1
15.9,84.9,44,1
16.7,85.7,33,1
24.36,93.36,133,2
15.47,84.47,1,1
19.01,88.01,82,1
22.72,91.72,118,1
10.13,79.13,13,0
26.39,95.39,194,2
18.22,87.22,3,1
15.78,84.78,32,1
16.81,85.81,44,1
10.79,79.79,79,0
12.91,81.91,18,0
29.42,98.42,142,2
22.75,91.75,121,1
18.6,87.6,41,1
27.66,96.66,179,2
11.37,80.37,46,0
19.11,88.11,91,1
17.7,86.7,42,1
17.35,86.35,7,1
23.75,92.75,143,2
12.21,81.21,39,0
25.2,94.2,146,2
12.6,81.6,78,0
24.48,93.48,145,2
12.53,81.53,71,0
27.28,96.28,141,2
13.87,82.87,23,0
20.84,89.84,112,1
21.59,90.59,111,1
21.04,90.04,94,1
25.5,94.5,176,2
25.48,94.48,174,2
24.05,93.05,173,2
26.73,95.73,157,2
16.53,85.53,16,1
27.59,96.59,172,2
17.04,86.04,67,1
23.64,92.64,132,2
13.54,82.54,81,0
17.03,86.03,66,1
29.43,98.43,143,2
20.42,89.42,108,1
12.19,81.19,37,0
25.98,94.98,153,2
14.14,83.14,50,0
12.87,81.87,14,0
14.94,83.94,39,0
15.16,84.16,61,1
13.12,82.12,39,0
29.46,98.46,146,2
14.24,83.24,60,0
20.34,89.34,100,1
25.7,94.7,196,2
18.29,87.29,10,1
18.28,87.28,9,1
26.95,95.95,179,2
21.45,90.45,97,1
13.79,82.79,15,0
28.35,97.35,177,2
13.23,82.23,50,0
18.4,87.4,21,1
27.07,96.07,191,2
10.27,79.27,27,0
20.5,89.5,116,1
22.35,91.35,111,1
20.55,89.55,121,1
11.08,80.08,17,0
13.93,82.93,29,0
12.89,81.89,16,0
18.77,87.77,58,1
11.43,80.43,52,0
27.74,96.74,187,2
16.94,85.94,57,1
15.06,84.06,51,1
19.1,88.1,91,1
24.87,93.87,184,2
14.56,83.56,1,0
15.35,84.35,80,1
12.75,81.75,2,0
21.21,90.21,111,1
25.29,94.29,155,2
22.81,91.81,127,1
20.49,89.49,115,1
11.63,80.63,72,0
21.6,90.6,112,1
21.2,90.2,110,1
27.45,96.45,158,2
16.32,85.32,86,1
13.86,82.86,22,0
14.46,83.46,82,0
28.55,97.55,197,2
20.18,89.18,122,1
23.16,92.16,155,2
15.3,84.3,75,1
16.31,85.31,85,1
27.61,96.61,174,2
11.99,80.99,17,0
19.39,88.39,119,1
28.38,97.38,180,2
27.71,96.71,184,2
18.18,87.18,90,1
24.11,93.11,179,2
16.46,85.46,9,1
15.98,84.98,52,1
22.57,91.57,103,1
20.78,89.78,106,1
24.95,93.95,192,2
27.48,96.48,161,2
19.95,88.95,99,1
29.26,98.26,197,2
22.51,91.51,127,1
18.84,87.84,65,1
12.71,81.71,89,0
20.85,89.85,113,1
29.8,98.8,180,2
28.46,97.46,188,2
11.53,80.53,62,0
13.57,82.57,84,0
27.35,96.35,148,2
21.83,90.83,97,1
16.4,85.4,3,1
17.49,86.49,21,1
21.95,90.95,109,1
16.52,85.52,15,1
29.69,98.69,169,2
16.17,85.17,71,1
25.62,94.62,188,2
22.03,91.03,117,1
13.15,82.15,42,0
25.45,94.45,171,2
27.04,96.04,188,2
15.23,84.23,68,1
23.22,92.22,161,2
26.1,95.1,165,2
20.51,89.51,117,1
27.54,96.54,167,2
17.2,86.2,83,1
27.89,96.89,131,2
10.97,79.97,6,0
28.34,97.34,176,2
15.91,84.91,45,1
19.55,88.55,97,1
13.69,82.69,5,0
29.44,98.44,144,2
29.66,98.66,166,2
19.48,88.48,128,1
12.66,81.66,84,0
21.08,90.08,98,1
13.18,82.18,45,0
13.84,82.84,20,0
18.45,87.45,26,1
20.36,89.36,102,1
26.59,95.59,143,2
21.62,90.62,114,1
13.7,82.7,6,0
29.85,98.85,185,2
15.2,84.2,65,1
25.93,94.93,148,2
23.95,92.95,163,2
21.43,90.43,95,1
23.25,92.25,164,2
27.37,96.37,150,2
18.49,87.49,30,1
19.58,88.58,100,1
14.72,83.72,17,0
25.11,94.11,137,2
23.91,92.91,159,2
10.61,79.61,61,0
17.54,86.54,26,1
20.86,89.86,114,1
22.47,91.47,123,1
26.07,95.07,162,2
17.69,86.69,41,1
15.33,84.33,78,1
28.98,97.98,169,2
12,81,18,0
17.18,86.18,81,1
29.38,98.38,138,2
26.71,95.71,155,2
11.3,80.3,39,0
13.5,82.5,77,0
26.53,95.53,137,2
26.5,95.5,134,2
28.16,97.16,158,2
25.02,94.02,199,2
27.18,96.18,131,2
23.34,92.34,173,2
16.61,85.61,24,1
17.78,86.78,50,1
12.5,81.5,68,0
14.38,83.38,74,0
25.64,94.64,190,2
25.54,94.54,180,2
26.6,95.6,144,2
19.86,88.86,128,1
22.79,91.79,125,1
11.06,80.06,15,0
26.23,95.23,178,2
18.73,87.73,54,1
29.07,98.07,178,2
20.6,89.6,126,1
20.96,89.96,124,1
12.07,81.07,25,0
20.16,89.16,120,1
13.77,82.77,13,0
12.37,81.37,55,0
16.64,85.64,27,1
28.59,97.59,130,2
13.05,82.05,32,0
29.98,98.98,198,2
18.15,87.15,87,1
21.46,90.46,98,1
18.82,87.82,63,1
18.36,87.36,17,1
20.13,89.13,117,1
26.58,95.58,142,2
28.56,97.56,198,2
18.9,87.9,71,1
10.98,79.98,7,0
24.89,93.89,186,2
27.75,96.75,188,2
15.22,84.22,67,1
29.95,98.95,195,2
23.43,92.43,182,2
10.17,79.17,17,0
14.95,83.95,40,0
15.53,84.53,7,1
16.45,85.45,8,1
11.76,80.76,85,0
12.27,81.27,45,0
24.44,93.44,141,2
24.04,93.04,172,2
15.62,84.62,16,1
18.96,87.96,77,1
10.51,79.51,51,0
15.75,84.75,29,1
22.4,91.4,116,1
24.73,93.73,170,2
25.12,94.12,138,2
12.94,81.94,21,0
17.47,86.47,19,1
24.54,93.54,151,2
23.98,92.98,166,2
17.01,86.01,64,1
16.6,85.6,23,1
28.94,97.94,165,2
16.67,85.67,30,1
20.27,89.27,93,1
23.17,92.17,156,2
10.7,79.7,70,0
27.19,96.19,132,2
13.3,82.3,57,0
14.57,83.57,2,0
11.56,80.56,65,0
10.74,79.74,74,0
17.93,86.93,65,1
11.27,80.27,36,0
17.22,86.22,85,1
10.43,79.43,43,0
15.46,84.46,0,1
27.15,96.15,199,2
20.81,89.81,109,1
16.49,85.49,12,1
14.54,83.54,90,0
19.28,88.28,108,1
14.52,83.52,88,0
28,97,142,2
25.6,94.6,186,2
10.25,79.25,25,0
23.12,92.12,151,2
16.41,85.41,4,1
16.37,85.37,0,1
24.31,93.31,199,2
22.93,91.93,132,2
15.28,84.28,73,1
13.17,82.17,44,0
19.08,88.08,89,1
20.26,89.26,92,1
28.31,97.31,173,2
19.92,88.92,96,1
13.51,82.51,78,0
11.58,80.58,67,0
21.14,90.14,104,1
10.01,79.01,1,0
22.29,91.29,105,1
18.05,87.05,77,1
27.78,96.78,191,2
10.72,79.72,72,0
12.9,81.9,17,0
18.31,87.31,12,1
21.94,90.94,108,1
10.07,79.07,7,0
14.34,83.34,70,0
14.61,83.61,6,0
14.13,83.13,49,0
13.91,82.91,27,0
24.51,93.51,148,2
14.4,83.4,76,0
12.14,81.14,32,0
20.3,89.3,96,1
28.41,97.41,183,2
12.64,81.64,82,0
24.41,93.41,138,2
19.69,88.69,111,1
20.29,89.29,95,1
24.8,93.8,177,2
26.22,95.22,177,2
17.37,86.37,9,1
21.01,90.01,129,1
26.44,95.44,199,2
11.49,80.49,58,0
10.16,79.16,16,0
24.83,93.83,180,2
12.57,81.57,75,0
24.59,93.59,156,2
18.23,87.23,4,1
10.5,79.5,50,0
23.86,92.86,154,2
23.41,92.41,180,2
13.66,82.66,2,0
11.36,80.36,45,0
22.33,91.33,109,1
15.89,84.89,43,1
12.67,81.67,85,0
22.07,91.07,121,1
28.78,97.78,149,2
17.65,86.65,37,1
24.72,93.72,169,2
15.48,84.48,2,1
28.67,97.67,138,2
24.5,93.5,147,2
26.82,95.82,166,2
13.19,82.19,46,0
16.34,85.34,88,1
18.11,87.11,83,1
13.29,82.29,56,0
22.17,91.17,93,1
28.48,97.48,190,2
16.71,85.71,34,1
27.98,96.98,140,2
11.15,80.15,24,0
13.63,82.63,90,0
22.98,91.98,137,2
17.64,86.64,36,1
25.53,94.53,179,2
16.77,85.77,40,1
18.88,87.88,69,1
28.1,97.1,152,2
10.12,79.12,12,0
27.65,96.65,178,2
14.48,83.48,84,0
29.16,98.16,187,2
28.58,97.58,200,2
24.81,93.81,178,2
23.8,92.8,148,2
19.18,88.18,98,1
22.69,91.69,115,1
28.69,97.69,140,2
29.82,98.82,182,2
22.14,91.14,128,1
27.63,96.63,176,2
17.79,86.79,51,1
16.15,85.15,69,1
18.08,87.08,80,1
21.34,90.34,124,1
25.25,94.25,151,2
27.6,96.6,173,2
14.64,83.64,9,0
27.24,96.24,137,2
12.05,81.05,23,0
24.67,93.67,164,2
24.1,93.1,178,2
21.82,90.82,96,1
10.45,79.45,45,0
27.22,96.22,135,2
12.46,81.46,64,0
16.87,85.87,50,1
